CustomerID,Recency,Frequency,Monetary
12645,33,4,1631.18
12646,4,2,1346.97
12647,22,12,3146.82
12648,154,1,300.05
12649,107,3,569.51
12650,3,1,242.44
12651,334,1,114.0
12652,331,1,793.98
12653,148,2,2209.85
12654,10,5,529.98
12656,17,5,3619.17
12657,11,4,1427.18
12658,18,1,632.05
12659,29,1,73.68
12660,11,1,227.1
12662,0,11,3543.78
12664,8,9,4391.88
12665,324,1,45.0
12667,58,1,460.13
12668,11,4,3177.15
12669,150,2,1427.73
12670,10,5,2744.05
12672,329,1,225.9
12673,5,2,574.52
12674,38,4,1844.6
12676,24,6,1091.39
12678,42,9,9370.52
12679,58,4,951.02
12680,0,4,790.81
12681,14,19,9370.52
12682,3,19,9370.52
12683,4,14,7612.57
12684,7,6,2073.63
12685,28,6,2575.08
12686,371,1,71.14
12688,113,1,4873.81
12689,25,2,1139.61
12690,205,1,335.01
12691,28,5,927.8
12693,127,4,711.91
12694,70,2,761.67
12695,7,4,582.1
12697,28,3,757.59
12700,7,4,4525.99
12701,79,2,725.71
12702,19,1,201.0
12703,71,1,265.55
12704,7,8,1740.84
12705,15,8,6382.29
12707,291,1,603.42
12708,29,10,2442.91
12709,15,15,9370.52
12710,96,3,1023.02
12712,28,13,3928.13
12713,0,1,794.55
12714,9,5,4294.86
12715,106,1,252.86
12716,3,2,963.49
12717,151,2,830.98
12718,71,1,202.25
12719,5,2,572.95
12720,2,19,5115.73
12721,31,6,2386.13
12722,85,4,979.63
12723,3,5,707.07
12724,5,4,923.41
12725,371,1,371.8
12726,28,7,2411.1
12727,10,7,3440.7
12728,71,4,728.33
12729,113,1,417.01
12731,23,12,9370.52
12732,179,1,218.26
12733,234,1,383.95
12734,352,1,110.4
12735,315,2,689.57
12736,332,1,144.0
12738,372,1,137.35
12739,99,1,975.54
12740,63,1,427.6
12743,134,2,533.83
12744,56,4,9120.39
12747,2,11,4196.01
12748,0,19,9370.52
12749,3,5,4040.88
12750,128,1,275.88
12752,81,1,4366.78
12753,22,6,9370.52
12754,235,3,3010.74
12755,280,2,3811.95
12756,86,1,112.08
12757,15,9,4156.85
12758,116,2,2791.59
12759,52,3,1411.44
12762,7,2,1702.52
12763,138,2,494.08
12764,316,1,1693.88
12766,3,7,6457.63
12769,238,1,1143.6
12770,210,1,1351.45
12772,59,1,752.47
12775,17,5,1281.04
12778,19,6,693.23
12779,37,8,3981.36
12781,63,2,786.74
12782,4,5,1938.92
12783,2,4,1295.87
12784,15,1,435.22
12785,364,1,255.95
12787,9,3,418.66
12789,65,1,76.85
12790,192,1,294.92
12791,373,1,177.6
12792,256,1,344.54
12793,334,2,461.48
12794,53,2,860.41
12795,18,1,318.48
12797,365,1,226.03
12798,10,3,6977.04
12802,186,1,397.58
12808,36,3,455.65
12809,177,1,405.31
12811,261,2,458.85
12812,44,1,229.64
12814,101,1,85.92
12815,147,2,863.46
12816,95,2,452.2
12817,281,1,126.04
12818,261,1,1182.08
12820,3,4,942.34
12821,214,1,92.72
12822,70,2,948.88
12823,74,5,1759.5
12824,59,1,397.12
12826,2,7,1474.72
12827,5,3,430.15
12828,2,6,1018.71
12829,336,2,293.0
12830,37,6,6814.64
12831,262,1,215.05
12832,32,2,383.03
12833,145,1,417.38
12834,282,1,312.38
12836,59,4,2607.86
12837,173,1,134.1
12838,33,2,660.77
12839,2,14,5591.42
12840,143,4,2726.77
12841,4,19,3961.65
12842,70,2,1118.99
12843,65,8,1702.26
12844,29,2,325.96
12845,267,4,354.09
12847,22,1,815.74
12849,31,2,952.05
12851,96,1,128.65
12852,294,1,311.55
12853,134,6,1957.1
12854,78,3,1308.0
12855,372,1,38.1
12856,7,6,2161.63
12857,210,2,1106.4
12863,52,1,521.2
12864,138,1,147.12
12865,26,2,1568.23
12866,283,1,499.12
12867,26,7,3981.86
12868,185,6,1607.06
12871,84,2,380.64
12872,326,2,599.97
12873,282,1,374.0
12875,143,2,343.23
12876,57,2,2053.02
12877,3,12,1535.77
12878,236,2,854.99
12879,44,3,573.22
12881,275,1,298.0
12882,9,2,1463.04
12883,24,4,703.47
12884,88,1,309.05
12885,63,3,1175.22
12886,67,2,1378.4
12888,214,2,354.12
12890,24,1,372.97
12891,185,3,331.0
12893,30,1,164.96
12895,42,2,372.8
12897,204,2,216.5
12901,8,19,9370.52
12902,264,1,138.68
12904,18,2,482.54
12906,11,5,2919.81
12908,176,2,750.0
12909,39,5,2178.67
12910,23,8,3075.04
12912,2,5,1662.3
12913,4,5,2483.63
12915,148,2,363.65
12916,138,4,2883.75
12917,128,1,594.0
12919,8,6,1335.19
12920,17,1,161.33
12921,9,19,9370.52
12922,161,1,405.38
12923,64,1,167.42
12924,88,4,925.75
12925,4,2,694.05
12928,35,5,2062.7
12929,311,1,117.85
12930,78,2,415.8
12931,21,15,9370.52
12933,24,3,607.53
12935,2,7,2160.7
12936,17,4,1063.9
12937,15,4,1504.27
12938,25,1,114.14
12939,64,8,9370.52
12940,54,2,885.84
12942,131,3,667.3
12944,35,2,604.51
12945,288,1,462.95
12947,143,6,1603.99
12948,16,7,2064.95
12949,30,8,4167.22
12950,2,3,1843.0
12951,8,6,1064.07
12952,5,4,1387.79
12953,9,1,329.85
12955,1,11,4757.16
12956,306,1,108.07
12957,9,8,4017.54
12962,7,2,266.39
12963,8,8,1856.63
12965,89,1,767.71
12966,9,1,160.18
12967,358,2,1660.9
12968,112,1,135.95
12970,7,4,359.96
12971,3,19,9370.52
12974,197,1,144.8
12976,211,1,738.6
12977,156,1,39.24
12980,157,9,7374.9
12981,29,2,372.22
12982,242,1,390.54
12984,18,1,97.5
12985,0,2,1239.38
12987,73,2,558.7
12988,292,1,478.82
12989,3,15,6924.11
12990,31,3,409.5
12991,23,2,503.76
12993,23,4,414.76
12994,4,3,974.42
12995,85,1,211.32
12997,22,4,1226.89
12999,196,3,455.88
13000,106,3,534.85
13001,4,13,9370.52
13002,318,1,120.95
13003,105,3,149.05
13004,11,18,5655.91
13005,173,2,513.7
13006,56,1,81.57
13008,323,1,229.47
13011,372,1,50.55
13012,9,8,1631.84
13013,1,13,4810.94
13014,10,10,3466.28
13015,53,5,3333.0
13016,73,3,789.89
13017,7,1,204.0
13018,16,19,7277.7
13021,4,9,2616.38
13023,64,2,599.9
13026,1,5,975.36
13027,113,6,6912.0
13028,22,2,661.32
13029,30,3,1247.5
13030,11,2,705.4
13032,52,2,1010.18
13033,357,1,190.55
13034,54,2,642.77
13035,73,2,921.88
13037,138,3,881.07
13038,80,3,908.46
13040,8,2,676.99
13043,273,1,516.42
13044,291,1,560.47
13045,99,1,305.28
13046,30,2,629.31
13047,56,9,3232.59
13048,14,4,1802.91
13049,64,2,656.68
13050,14,17,5833.11
13052,212,1,348.15
13055,78,3,1214.41
13058,24,3,271.4
13059,249,1,183.4
13060,253,1,307.53
13061,72,1,248.61
13062,191,1,346.98
13064,12,4,1091.69
13065,373,1,205.86
13066,24,2,470.8
13067,82,1,115.46
13068,10,2,344.0
13069,0,19,4426.76
13070,192,1,228.8
13072,266,1,177.15
13075,129,1,919.61
13077,1,4,726.77
13078,3,19,9370.52
13079,4,5,220.1
13080,179,1,58.08
13081,11,11,9370.52
13082,126,9,3613.63
13083,4,2,303.75
13085,157,2,416.08
13089,2,19,9370.52
13090,8,13,8895.82
13091,28,1,345.82
13092,70,5,477.83
13093,275,8,7832.47
13094,21,12,1927.32
13095,70,1,74.4
13097,32,10,5996.02
13098,1,19,9370.52
13099,99,1,207.36
13101,234,1,101.19
13102,1,19,6424.09
13103,39,1,243.94
13104,3,6,1098.48
13106,133,1,76.5
13107,44,4,1531.62
13108,372,1,350.06
13109,59,2,786.54
13110,31,7,1488.67
13113,0,19,9370.52
13115,11,4,2294.78
13116,138,1,501.14
13117,21,8,984.91
13118,19,5,1197.81
13120,238,1,30.6
13121,269,1,283.73
13122,94,2,922.39
13124,89,3,3676.28
13126,4,8,2099.64
13127,77,1,259.17
13130,94,1,64.0
13131,23,3,1073.3
13132,261,1,77.3
13133,273,2,109.8
13134,85,4,1793.58
13135,196,1,3096.0
13136,56,5,2607.61
13137,10,8,3556.17
13138,22,6,962.39
13139,16,7,5064.94
13140,108,3,421.22
13141,84,5,2388.75
13142,19,1,307.09
13144,332,1,110.95
13145,39,4,618.52
13146,26,1,228.91
13147,10,4,712.8
13148,29,12,3659.4
13149,14,4,1676.06
13151,295,1,1257.87
13153,5,1,486.22
13155,33,4,971.76
13157,49,4,1741.22
13158,94,4,1201.06
13159,8,4,1420.85
13160,22,1,91.8
13161,313,1,112.75
13162,122,4,1688.29
13165,46,2,1021.48
13166,283,1,417.2
13167,18,4,779.33
13168,36,4,1279.99
13169,63,2,712.88
13170,26,1,101.61
13171,21,3,468.41
13173,4,2,353.65
13174,16,3,2672.51
13176,46,1,472.69
13177,64,1,282.45
13178,26,11,5725.47
13182,45,1,121.18
13183,7,9,3957.78
13184,14,10,1635.61
13185,267,1,71.4
13186,39,3,1575.89
13187,337,1,236.02
13188,11,1,114.6
13189,18,2,260.68
13192,95,2,911.94
13193,61,1,106.28
13194,135,1,60.7
13196,11,4,1797.78
13198,10,6,3401.24
13199,3,19,9370.52
13200,19,4,870.09
13203,9,4,869.46
13207,15,2,250.26
13208,59,5,1186.92
13209,30,8,5891.61
13210,93,1,353.48
13211,10,3,993.42
13212,19,3,785.58
13213,56,5,1520.58
13216,267,1,333.74
13217,122,3,533.98
13218,127,1,62.64
13220,78,4,819.29
13221,240,2,844.86
13223,200,2,163.2
13224,60,2,2152.95
13225,3,7,6463.84
13226,273,1,108.21
13227,201,1,257.7
13228,81,1,358.0
13229,225,1,160.95
13230,4,14,2704.29
13232,12,7,1298.5
13233,74,2,605.12
13235,212,1,1031.07
13236,24,2,744.85
13238,17,4,700.73
13239,261,1,329.56
13240,96,4,648.7
13242,112,3,270.4
13243,203,1,570.17
13244,92,1,121.74
13245,50,1,430.5
13246,18,6,1935.74
13247,17,4,501.12
13248,124,2,465.68
13249,92,3,711.41
13253,156,2,1030.4
13255,9,2,399.51
13258,11,3,647.08
13259,61,1,274.04
13260,61,1,557.62
13261,268,2,944.1
13262,263,1,200.29
13263,1,19,7394.57
13265,53,5,2077.66
13266,11,12,3834.26
13267,2,19,4521.49
13268,17,10,3112.77
13269,1,15,5340.33
13270,366,1,590.0
13271,37,1,205.6
13272,31,2,276.56
13273,113,1,138.98
13276,63,2,590.93
13277,15,4,258.4
13278,40,1,542.73
13279,78,1,137.75
13280,122,3,782.06
13282,18,3,1132.14
13283,59,2,93.66
13284,330,1,201.19
13285,23,4,2709.12
13291,155,1,361.11
13292,38,2,578.94
13294,189,2,873.74
13295,359,1,201.2
13296,137,1,87.4
13297,7,4,2089.85
13298,1,1,360.0
13299,268,1,142.5
13300,169,1,371.89
13301,103,4,600.19
13302,155,1,63.75
13304,351,1,300.42
13305,4,10,2000.86
13307,120,1,15.0
13308,22,3,1385.51
13309,7,5,1456.79
13310,28,3,1132.03
13311,4,2,598.57
13313,22,5,1555.32
13314,1,3,775.94
13316,37,4,5488.13
13317,66,6,2273.68
13318,1,3,640.76
13319,5,19,9370.52
13320,78,4,1515.7
13321,72,2,567.36
13322,17,1,199.48
13323,3,5,787.85
13324,36,10,7121.95
13325,81,1,675.3
13327,38,8,3627.77
13328,316,1,1308.48
13329,31,2,789.0
13330,92,3,1140.93
13332,14,1,350.9
13334,82,3,3467.82
13336,77,1,795.12
13338,157,1,437.02
13339,200,1,860.12
13340,45,7,9370.52
13341,260,1,775.85
13343,177,1,303.43
13344,67,3,2486.3
13345,287,1,339.5
13347,70,1,291.36
13348,64,1,233.76
13349,10,1,197.32
13350,16,2,879.12
13351,66,1,323.94
13352,60,1,347.98
13354,71,1,743.53
13355,122,1,674.7
13356,80,1,768.24
13357,257,1,608.85
13358,268,1,389.03
13359,63,1,389.56
13362,9,4,3090.74
13363,17,2,892.5
13364,71,1,134.96
13365,33,2,2225.37
13366,50,1,56.16
13368,256,2,573.4
13369,365,1,258.28
13370,371,1,754.87
13372,89,1,328.64
13373,60,3,3312.25
13375,88,1,778.65
13376,99,3,869.76
13379,26,3,572.56
13381,31,6,3639.31
13382,280,1,222.99
13384,30,7,4151.93
13385,329,1,534.57
13388,131,2,677.1
13389,11,3,797.96
13390,74,1,544.08
13391,203,1,59.8
13394,1,8,2520.02
13395,185,1,307.72
13396,29,2,1360.99
13397,72,5,1544.13
13398,192,1,457.34
13402,127,2,621.23
13403,17,1,75.0
13404,1,2,252.49
13405,204,2,557.45
13408,1,19,9370.52
13410,24,5,1003.06
13411,107,1,213.55
13414,133,3,1390.5
13416,43,2,712.5
13417,4,2,640.83
13418,11,18,6127.43
13419,63,1,221.06
13420,149,2,159.85
13421,40,2,1805.84
13422,64,1,2626.3
13425,108,3,1624.21
13426,0,10,3641.32
13427,19,3,582.6
13428,10,1,185.09
13429,10,4,1006.8
13430,18,2,679.45
13431,67,2,1269.1
13434,74,2,534.24
13435,5,7,3809.89
13436,1,1,196.89
13437,14,7,3408.06
13439,255,1,283.71
13441,91,1,296.64
13447,23,3,1129.14
13448,16,6,3530.01
13449,23,1,291.88
13450,26,6,2043.72
13451,26,5,2820.37
13452,259,2,590.0
13453,165,2,356.98
13455,24,2,1058.34
13456,17,6,1766.72
13458,7,14,9370.52
13460,29,2,183.44
13461,38,3,1445.0
13462,252,1,151.5
13464,58,1,674.68
13466,184,1,307.9
13467,10,2,1060.11
13468,1,19,5704.97
13470,99,2,165.0
13471,1,4,2472.1
13473,60,2,422.64
13474,236,1,224.09
13475,191,4,1431.78
13476,178,2,1238.47
13477,37,6,1454.58
13479,200,2,300.95
13481,45,5,1804.56
13482,232,1,184.64
13483,65,1,140.34
13484,241,1,313.8
13485,233,1,454.24
13486,78,3,1122.41
13487,57,3,575.4
13488,17,13,8968.31
13489,105,4,449.52
13491,51,10,1215.82
13492,136,3,1269.84
13493,275,2,498.63
13494,311,1,316.26
13495,7,5,2044.87
13496,10,2,653.33
13497,282,2,348.05
13499,17,5,1159.11
13500,23,3,1166.77
13501,288,1,1340.32
13502,16,3,292.0
13503,71,1,216.85
13504,64,1,295.93
13505,72,4,3633.63
13506,316,2,458.52
13507,3,4,2479.16
13508,243,1,110.97
13509,8,6,964.72
13510,1,4,1791.56
13512,260,1,251.21
13513,126,1,205.1
13514,73,1,152.2
13515,72,4,891.12
13516,21,3,1389.41
13517,59,3,2128.42
13518,85,1,594.88
13519,78,1,122.75
13520,58,6,2984.35
13521,1,3,1050.21
13522,30,1,125.8
13523,33,5,3964.88
13524,40,5,680.18
13525,14,2,628.78
13527,33,7,2197.21
13529,78,2,307.76
13531,205,2,483.8
13532,33,1,210.31
13533,182,3,267.39
13534,2,19,5870.08
13536,1,7,3440.49
13538,43,7,1280.85
13539,85,3,631.34
13544,39,2,263.23
13546,12,3,615.19
13548,96,2,673.91
13549,25,7,918.2
13551,319,1,91.8
13552,66,12,3740.07
13555,73,4,4048.48
13557,28,2,584.06
13558,5,4,583.98
13560,7,1,168.47
13561,215,1,141.86
13562,81,3,1799.33
13563,84,2,777.53
13564,354,2,1149.68
13565,19,2,240.22
13566,40,2,843.12
13568,173,1,181.25
13569,17,2,309.49
13570,243,1,239.49
13571,12,12,2085.56
13572,205,1,1384.25
13573,50,2,286.1
13575,23,5,732.07
13576,10,18,6717.34
13577,25,4,1687.6
13579,14,2,467.04
13581,309,1,118.0
13583,155,1,781.03
13584,306,1,142.4
13587,63,1,712.4
13588,15,9,2478.95
13589,14,2,379.65
13590,11,6,1981.92
13591,64,3,1117.13
13592,35,4,247.96
13593,108,5,1986.68
13594,52,1,396.97
13596,5,2,632.98
13598,47,1,139.91
13599,1,19,5146.17
13600,312,1,219.52
13601,45,2,693.32
13602,64,1,428.89
13603,26,1,164.34
13606,29,3,272.96
13607,40,1,673.01
13610,12,7,1032.78
13611,89,3,1137.0
13614,24,4,1560.46
13615,318,1,417.69
13617,40,3,544.18
13618,173,1,177.34
13621,116,1,213.85
13623,30,5,707.7
13626,252,1,257.23
13627,59,5,1638.47
13629,23,11,7792.36
13630,5,7,2031.78
13631,99,11,3070.42
13632,24,5,2116.59
13634,33,5,1519.56
13635,67,1,1071.03
13636,36,5,949.12
13637,52,3,796.85
13638,15,1,122.64
13639,74,1,1033.34
13642,215,1,275.71
13643,31,3,519.44
13644,16,4,2624.26
13645,120,1,252.1
13647,9,4,1618.12
13649,256,2,346.6
13650,16,6,1836.34
13651,39,1,79.2
13652,45,3,1095.08
13654,43,6,2707.33
13655,114,2,932.97
13656,164,2,379.65
13657,10,2,382.14
13658,9,5,2639.17
13659,205,2,1552.8
13662,85,3,864.76
13663,179,1,189.47
13666,60,3,84.65
13667,149,1,293.08
13668,2,19,6256.07
13669,50,2,218.55
13670,75,1,349.7
13672,301,2,186.39
13673,18,2,377.96
13675,151,2,486.82
13678,151,1,232.6
13680,1,4,3715.82
13681,17,4,827.83
13682,187,1,59.5
13684,285,1,63.03
13685,2,7,3119.44
13686,182,1,72.0
13689,63,1,910.0
13690,59,1,172.25
13692,24,3,1488.32
13694,3,19,9370.52
13695,31,15,2504.13
13697,38,1,151.3
13699,155,1,308.58
13700,26,10,2232.14
13703,318,1,99.5
13704,5,9,2308.06
13705,7,3,711.86
13706,302,1,330.79
13707,267,2,806.41
13708,271,1,271.78
13709,3,13,6287.25
13710,31,1,180.48
13711,218,2,252.06
13712,246,1,228.84
13715,281,5,1075.44
13716,269,1,138.28
13717,32,6,1445.01
13718,246,2,306.55
13719,15,5,1041.68
13720,116,4,799.9
13721,36,1,524.14
13722,131,3,2375.41
13723,217,1,199.85
13725,49,8,1980.56
13726,38,2,1079.66
13727,28,2,333.48
13728,36,6,1016.14
13730,135,2,752.6
13731,219,2,610.59
13732,28,1,491.86
13735,24,4,2881.84
13736,5,2,727.7
13737,200,1,339.6
13739,18,1,216.9
13740,240,1,350.75
13741,71,3,668.43
13742,16,12,3084.72
13743,2,7,1341.6
13744,95,2,1004.68
13745,162,1,300.04
13747,373,1,79.6
13748,95,5,948.25
13750,53,5,1647.26
13751,288,1,296.25
13752,124,6,1164.48
13753,287,1,741.26
13754,151,2,282.6
13755,3,9,2058.08
13756,2,14,5189.52
13758,11,7,3190.55
13759,33,2,659.41
13760,54,2,286.79
13761,50,2,1070.65
13762,218,1,306.72
13763,63,1,1714.96
13764,70,3,1514.08
13767,2,19,9370.52
13769,2,10,2796.51
13771,64,4,2634.45
13772,33,3,1113.13
13774,81,1,345.0
13777,0,19,9370.52
13778,103,1,178.7
13780,7,2,360.01
13781,250,1,127.84
13782,12,6,905.72
13784,9,11,2462.79
13786,367,1,230.4
13787,75,2,309.04
13790,4,1,348.8
13791,127,2,1516.0
13792,66,2,195.55
13798,1,19,9370.52
13799,116,2,688.86
13800,309,1,558.32
13801,66,1,324.8
13802,138,3,4599.42
13803,255,1,277.07
13804,30,7,2540.99
13805,52,2,924.6
13806,63,1,256.38
13807,367,1,112.6
13808,5,5,1747.66
13809,305,1,155.05
13810,28,2,827.51
13811,183,2,519.75
13812,42,3,485.0
13813,39,4,1168.86
13814,92,2,1579.12
13815,22,4,3667.36
13816,23,2,499.67
13817,29,2,328.98
13819,301,3,1140.35
13821,144,2,385.64
13822,5,2,632.0
13823,18,2,957.66
13824,32,5,1698.94
13826,176,1,189.5
13827,57,3,407.55
13828,22,1,209.49
13831,16,6,2193.91
13832,19,1,52.2
13833,159,1,382.9
13835,25,4,834.57
13837,211,2,261.94
13838,5,4,660.16
13841,252,1,85.0
13842,58,9,3385.62
13844,11,1,361.62
13845,64,1,312.98
13846,24,3,865.06
13848,92,3,1255.0
13849,51,2,1537.95
13850,129,1,1595.48
13851,95,3,2651.46
13853,57,1,1090.14
13854,8,19,8109.52
13856,168,3,388.5
13858,57,1,216.17
13859,326,1,201.16
13860,1,5,1245.9
13862,18,8,2209.36
13863,247,1,305.78
13865,58,4,501.56
13866,74,1,145.67
13867,31,3,994.89
13868,7,2,3192.54
13869,123,4,3062.35
13870,2,8,2770.94
13871,22,13,6403.25
13873,119,3,389.6
13874,358,1,540.45
13875,53,5,1786.79
13876,63,1,122.7
13877,86,1,117.24
13878,54,1,1261.61
13880,21,13,3219.77
13881,3,19,9370.52
13882,2,5,1191.13
13883,10,5,2674.48
13884,7,5,787.6
13885,189,2,506.8
13886,71,1,243.56
13887,204,1,349.55
13888,119,2,585.71
13889,92,1,416.9
13890,1,10,1883.81
13892,26,4,632.97
13893,297,1,821.1
13894,23,3,564.62
13895,28,4,2593.07
13897,50,1,311.16
13898,325,1,155.93
13899,16,2,388.52
13900,183,3,740.95
13901,72,5,2867.2
13904,37,2,332.64
13908,79,4,2319.55
13911,57,9,2580.91
13914,11,2,626.45
13917,49,2,272.04
13918,49,2,1212.84
13919,59,2,348.81
13922,351,1,172.25
13923,53,1,351.13
13924,1,6,1838.85
13925,92,4,678.25
13926,23,1,223.85
13927,74,1,348.99
13928,10,4,464.57
13929,169,2,842.65
13930,57,2,337.34
13931,95,2,1237.53
13932,294,1,307.4
13933,109,2,608.79
13934,263,1,922.1
13936,179,1,376.58
13937,169,1,158.85
13938,35,1,71.66
13939,23,3,568.55
13940,17,4,839.14
13941,21,5,5112.96
13946,79,3,561.57
13947,65,1,90.6
13948,360,1,102.0
13949,2,6,2427.32
13950,11,4,745.06
13951,176,3,674.45
13952,217,2,3251.07
13953,7,7,3515.68
13954,1,2,439.92
13955,154,2,322.96
13956,5,5,1012.12
13959,79,3,589.88
13960,21,2,230.22
13962,21,2,169.55
13963,308,4,664.54
13967,145,1,80.7
13969,7,18,8994.4
13971,18,8,2758.26
13972,70,2,190.25
13973,287,1,264.7
13974,49,1,413.59
13975,31,6,2396.2
13976,206,1,357.98
13978,14,2,196.79
13979,73,1,869.87
13980,60,1,200.14
13982,39,4,1871.81
13983,29,12,2603.43
13984,26,5,920.51
13985,4,15,7060.13
13986,17,1,320.46
13988,19,6,4147.96
13989,65,2,1266.08
13990,213,1,311.3
13991,12,6,848.79
13992,30,1,76.8
13993,42,9,3466.36
13994,3,6,2235.14
13995,15,5,1393.69
13999,10,12,3901.81
14000,211,1,635.66
14001,45,3,2043.08
14002,134,2,529.73
14004,43,7,4582.64
14005,9,5,2874.72
14006,115,3,962.19
